421,0,bmp280,bmp280 succeful init
461,3,bmp280,20.279999 100397.703125
501,3,bmp280,20.289999 100398.421875
531,3,bmp280,20.289999 100399.187500
571,3,bmp280,20.299999 100398.109375
611,3,bmp280,20.309999 100399.640625
651,3,bmp280,20.330000 100399.265625
691,3,bmp280,20.340000 100398.945312
721,3,bmp280,20.359999 100398.601562
801,3,bmp280,20.389999 100400.546875
971,0,mpu9250,Init succeful
981,4,mpu9250,359.952 -0.058 0.451
991,3,bmp280,20.459999 100401.445312
1011,4,mpu9250,359.360 -0.704 4.946
1021,3,bmp280,20.469999 100400.375000
1031,4,mpu9250,358.545 -1.436 9.392
1061,4,mpu9250,357.521 -2.230 13.762
1091,4,mpu9250,356.214 -3.026 17.999
1101,3,bmp280,20.500000 100401.515625
1111,4,mpu9250,354.630 -3.804 22.091
1141,4,mpu9250,352.826 -4.559 26.066
1171,4,mpu9250,350.834 -5.184 29.922
1171,3,bmp280,20.520000 100402.718750
1191,4,mpu9250,348.692 -5.720 33.668
1211,3,bmp280,20.529999 100401.617188
1221,4,mpu9250,346.458 -6.142 37.318
1241,4,mpu9250,344.118 -6.421 40.845
1251,3,bmp280,20.539999 100403.109375
1281,4,mpu9250,341.703 -6.581 44.222
1291,3,bmp280,20.549999 100402.031250
1301,4,mpu9250,339.236 -6.610 47.477
1331,4,mpu9250,336.726 -6.570 50.630
1361,4,mpu9250,334.159 -6.439 53.663
1361,3,bmp280,20.570000 100402.445312
1381,4,mpu9250,331.590 -6.208 56.590
1401,3,bmp280,20.580000 100401.335938
1411,4,mpu9250,329.039 -5.903 59.411
1441,4,mpu9250,326.466 -5.588 62.165
1441,3,bmp280,20.590000 100402.859375
1471,4,mpu9250,323.982 -5.118 64.761
1481,3,bmp280,20.600000 100401.015625
1491,4,mpu9250,321.693 -4.484 67.187
1511,3,bmp280,20.609999 100402.546875
1521,4,mpu9250,319.484 -3.781 69.487
1551,4,mpu9250,317.318 -3.109 71.692
1551,3,bmp280,20.609999 100403.304688
1571,4,mpu9250,315.227 -2.363 73.755
1591,3,bmp280,20.619999 100402.171875
1601,4,mpu9250,313.191 -1.633 75.702
1631,4,mpu9250,311.195 -0.928 77.515
1651,4,mpu9250,309.275 -0.217 79.197
1661,3,bmp280,20.629999 100401.085938
1681,4,mpu9250,307.434 0.459 80.781
1701,3,bmp280,20.639999 100402.609375
1711,4,mpu9250,305.647 1.108 82.225
1741,4,mpu9250,303.920 1.665 83.572
1741,3,bmp280,20.650000 100403.375000
1761,4,mpu9250,302.223 2.177 84.771
1781,3,bmp280,20.650000 100404.140625
1791,4,mpu9250,300.622 2.608 85.863
1811,3,bmp280,20.660000 100402.296875
1821,4,mpu9250,299.032 2.999 86.806
1851,4,mpu9250,297.561 3.366 87.605
1871,4,mpu9250,296.159 3.622 88.301
1891,3,bmp280,20.670000 100403.765625
1901,4,mpu9250,294.841 3.815 88.889
1931,4,mpu9250,293.575 3.943 89.385
1931,3,bmp280,20.670000 100401.921875
1951,4,mpu9250,292.350 4.000 89.795
1971,3,bmp280,20.680000 100402.679688
1981,4,mpu9250,291.239 4.054 90.104
2011,4,mpu9250,290.232 4.012 90.359
2031,4,mpu9250,289.296 3.959 90.558
2041,3,bmp280,20.680000 100403.437500
2061,4,mpu9250,288.355 3.906 90.720
2081,3,bmp280,20.689999 100404.203125
2091,4,mpu9250,287.558 3.805 90.832
2111,3,bmp280,20.689999 100402.359375
2121,4,mpu9250,286.756 3.725 90.908
2151,4,mpu9250,285.947 3.645 90.968
2151,3,bmp280,20.699999 100403.125000
2171,4,mpu9250,285.272 3.513 91.011
2191,3,bmp280,20.699999 100403.125000
2201,4,mpu9250,284.626 3.405 91.042
2231,3,bmp280,20.699999 100403.828125
2231,4,mpu9250,284.041 3.295 91.066
2261,4,mpu9250,283.560 3.175 91.060
2291,4,mpu9250,283.032 3.082 91.063
2301,3,bmp280,20.709999 100404.585938
2311,4,mpu9250,282.577 3.005 91.041
2341,4,mpu9250,282.053 2.972 91.032
2371,4,mpu9250,281.695 2.879 91.007
2391,4,mpu9250,281.306 2.804 90.998
2421,4,mpu9250,281.040 2.705 90.985
2451,4,mpu9250,280.811 2.617 90.969
2451,3,bmp280,20.719999 100403.507812
2471,4,mpu9250,280.617 2.531 90.950
2491,3,bmp280,20.719999 100403.507812
2501,4,mpu9250,280.380 2.474 90.937
2521,4,mpu9250,280.169 2.434 90.934
2531,3,bmp280,20.719999 100404.273438
2561,4,mpu9250,279.981 2.391 90.924
2571,3,bmp280,20.719999 100404.273438
2591,4,mpu9250,279.750 2.364 90.933
2601,3,bmp280,20.730000 100402.421875
2611,4,mpu9250,279.590 2.324 90.907
2641,4,mpu9250,279.499 2.266 90.900
2671,4,mpu9250,279.311 2.239 90.912
2681,3,bmp280,20.730000 100403.187500
2691,4,mpu9250,279.257 2.149 90.930
2721,4,mpu9250,279.120 2.138 90.926
2751,4,mpu9250,278.984 2.136 90.916
2771,4,mpu9250,278.866 2.108 90.909
2791,3,bmp280,20.740000 100403.953125
2801,4,mpu9250,278.784 2.088 90.907
2831,4,mpu9250,278.751 2.068 90.877
2831,3,bmp280,20.740000 100403.953125
2851,4,mpu9250,278.712 2.028 90.880
2871,3,bmp280,20.740000 100404.687500
2881,4,mpu9250,278.679 2.008 90.903
2911,3,bmp280,20.740000 100404.687500
2911,4,mpu9250,278.607 1.994 90.898
2941,4,mpu9250,278.535 2.013 90.880
2941,3,bmp280,20.740000 100404.687500
2961,4,mpu9250,278.463 2.044 90.853
2981,3,bmp280,20.750000 100405.421875
2991,4,mpu9250,278.378 2.048 90.848
3021,4,mpu9250,278.341 2.021 90.876
3041,4,mpu9250,278.230 2.035 90.861
3061,3,bmp280,20.750000 100402.812500
3071,4,mpu9250,278.196 2.007 90.854
3091,3,bmp280,20.750000 100403.578125
3101,4,mpu9250,278.163 1.977 90.860
3131,4,mpu9250,278.148 1.949 90.851
3131,3,bmp280,20.750000 100403.578125
3161,4,mpu9250,278.091 1.970 90.835
3171,3,bmp280,20.750000 100403.578125
3191,4,mpu9250,278.051 1.952 90.837
3211,3,bmp280,20.760000 100404.335938
3211,4,mpu9250,277.956 1.970 90.840
3241,4,mpu9250,277.931 1.978 90.834
3241,3,bmp280,20.760000 100404.335938
