rawX,rawY,rawZ,comX,comY,comZ
409,-166,-36,-124.103561,-94.512672,-36
395,-186,-28,-124.098808,-94.513229,-28
430,-163,-12,-124.081520,-94.510147,-12
401,-178,-17,-124.075500,-94.509529,-17
424,-160,-26,-124.052002,-94.507202,-26
426,-185,-33,-124.031494,-94.506050,-33
411,-169,-42,-124.003357,-94.503181,-42
398,-168,-32,-124.005432,-94.504356,-32
398,-156,-27,-124.008537,-94.504036,-27
410,-181,-6,-123.970726,-94.499916,-6
392,-175,-41,-123.950455,-94.496437,-41
416,-172,-24,-123.953331,-94.495575,-24
410,-181,-51,-123.948471,-94.495491,-51
413,-172,-42,-123.949257,-94.495079,-42
427,-157,-35,-123.963791,-94.497215,-35
411,-175,-28,-123.989281,-94.499779,-28
412,-177,-35,-123.972755,-94.496582,-35
404,-203,-41,-123.962936,-94.496574,-41
405,-192,-30,-123.956421,-94.495216,-30
423,-171,-14,-123.966606,-94.496864,-14
398,-190,-28,-123.993378,-94.502548,-28
379,-200,-29,-124.017281,-94.506348,-29
417,-153,-32,-124.027443,-94.506325,-32
427,-185,-38,-124.025757,-94.506447,-38
431,-193,-24,-124.015839,-94.505127,-24
418,-188,-6,-124.025497,-94.506737,-6
431,-192,-22,-124.052032,-94.509918,-22
423,-168,-16,-124.075226,-94.513359,-16
423,-174,-29,-124.068214,-94.513664,-29
404,-185,-31,-124.054909,-94.511169,-31
408,-167,-4,-124.041389,-94.509674,-4
427,-192,8,-124.033173,-94.509621,8
436,-180,-4,-124.039413,-94.510361,-4
428,-199,-12,-124.038475,-94.510170,-12
419,-175,-8,-124.006042,-94.506203,-8
408,-190,4,-124.022621,-94.508896,4
437,-185,22,-124.015907,-94.507431,22
406,-192,4,-123.983963,-94.502480,4
432,-198,2,-123.996445,-94.502663,2
424,-194,15,-123.990753,-94.498695,15
420,-193,29,-123.979866,-94.497452,29
411,-204,7,-123.985138,-94.498062,7
410,-201,26,-123.990616,-94.500328,26
413,-177,20,-124.019447,-94.503571,20
421,-168,45,-124.019905,-94.501663,45
437,-213,30,-124.018547,-94.501503,30
413,-172,16,-123.999428,-94.500008,16
429,-187,18,-124.024590,-94.501419,18
429,-182,32,-124.031845,-94.501389,32
420,-183,59,-124.029594,-94.501701,59
394,-159,39,-124.017563,-94.498466,39
423,-169,13,-124.004913,-94.496246,13
413,-170,26,-123.998512,-94.493004,26
425,-177,23,-123.993004,-94.492020,23
423,-161,21,-124.000984,-94.493027,21
413,-178,22,-123.990067,-94.491051,22
413,-193,33,-123.997932,-94.492432,33
434,-177,17,-124.013016,-94.496201,17
391,-161,35,-124.009163,-94.495277,35
417,-177,40,-123.995728,-94.492767,40
418,-182,7,-124.019638,-94.495590,7
404,-187,21,-124.023804,-94.495911,21
435,-185,31,-124.018150,-94.494476,31
410,-159,26,-124.040993,-94.495476,26
436,-181,14,-124.038200,-94.495316,14
417,-184,33,-124.046356,-94.496460,33
421,-178,27,-124.056976,-94.498901,27
422,-179,39,-124.038887,-94.496712,39
417,-160,18,-124.028053,-94.496361,18
416,-189,25,-124.022842,-94.496918,25
422,-170,13,-124.002861,-94.493790,13
413,-178,28,-124.001381,-94.493660,28
403,-173,23,-124.006088,-94.492920,23
425,-181,28,-124.000946,-94.492775,28
416,-176,29,-123.996124,-94.492996,29
414,-181,19,-123.995354,-94.493721,19
430,-168,43,-123.965569,-94.491669,43
402,-158,12,-123.948288,-94.488976,12
415,-178,6,-123.943779,-94.488380,6
419,-163,5,-123.968201,-94.491913,5
402,-162,43,-123.958107,-94.489845,43
418,-205,21,-123.948105,-94.489273,21
409,-189,-4,-123.955215,-94.489250,-4
392,-159,-7,-123.975388,-94.489738,-7
430,-140,-6,-123.953461,-94.487579,-6
403,-161,-27,-123.927429,-94.484634,-27
433,-153,17,-123.921272,-94.482986,17
416,-178,-12,-123.923767,-94.483345,-12
399,-166,-16,-123.925446,-94.484489,-16
414,-163,-28,-123.911728,-94.483070,-28
424,-182,-28,-123.932655,-94.484077,-28
415,-173,-1,-123.923378,-94.482704,-1
393,-168,-24,-123.923416,-94.481194,-24
412,-184,-20,-123.918198,-94.481590,-20
413,-154,-34,-123.919769,-94.482628,-34
417,-188,-18,-123.913216,-94.482224,-18
431,-203,-13,-123.906387,-94.480049,-13
418,-180,-18,-123.901619,-94.478676,-18
410,-175,-15,-123.899452,-94.477402,-15
416,-198,-36,-123.885399,-94.475548,-36
411,-202,-13,-123.876389,-94.473251,-13
408,-202,-5,-123.898849,-94.474007,-5
409,-199,-4,-123.897827,-94.473778,-4
413,-178,-22,-123.904900,-94.475182,-22
418,-194,-26,-123.910522,-94.475388,-26
411,-208,-4,-123.890656,-94.473206,-4
419,-213,-34,-123.926361,-94.479660,-34
435,-183,-12,-123.938225,-94.482109,-12
440,-175,-7,-123.961418,-94.484978,-7
425,-191,-21,-123.969147,-94.486435,-21
396,-167,-31,-123.977264,-94.488594,-31
425,-166,-29,-123.996376,-94.491989,-29
394,-210,-8,-123.997025,-94.494492,-8
430,-187,10,-123.997673,-94.493736,10
433,-178,-15,-124.023651,-94.496826,-15
409,-195,-15,-124.019791,-94.494797,-15
412,-184,3,-124.027702,-94.496513,3
448,-194,11,-124.031441,-94.498276,11
408,-170,1,-124.019791,-94.498154,1
399,-176,-38,-124.014587,-94.498215,-38
414,-185,-29,-124.027252,-94.500755,-29
408,-203,-37,-124.033127,-94.501862,-37
426,-195,-4,-124.036728,-94.501801,-4
398,-191,-2,-124.058914,-94.504662,-2
426,-186,23,-124.091766,-94.509743,23
408,-174,8,-124.103210,-94.512611,8
406,-148,29,-124.095848,-94.511543,29
412,-142,12,-124.090820,-94.511841,12
433,-185,-3,-124.078629,-94.510765,-3
427,-206,-52,-124.072922,-94.509460,-52
401,-231,-17,-124.070969,-94.507942,-17
424,-219,-9,-124.055191,-94.505898,-9
418,-209,12,-124.084137,-94.508934,12
422,-188,19,-124.075134,-94.509064,19
412,-146,38,-124.093597,-94.510742,38
412,-176,48,-124.099464,-94.511353,48
431,-144,50,-124.077927,-94.507347,50
414,-166,24,-124.050667,-94.505287,24
412,-156,-2,-123.998405,-94.499573,-2
417,-179,-39,-123.988281,-94.499229,-39
404,-182,-26,-123.983658,-94.497810,-26
403,-211,2,-123.989700,-94.496468,2
412,-199,28,-123.999718,-94.497231,28
411,-188,35,-124.011520,-94.497597,35
412,-149,33,-124.024994,-94.500580,33
442,-157,41,-124.000504,-94.497276,41
425,-144,26,-123.995964,-94.497383,26
398,-151,9,-124.004105,-94.499191,9
416,-164,-6,-124.005371,-94.498650,-6
414,-172,-33,-123.957909,-94.492111,-33
427,-202,-5,-123.937035,-94.488388,-5
428,-170,2,-123.932076,-94.489227,2
422,-147,18,-123.943901,-94.488586,18
400,-144,43,-123.943909,-94.489258,43
415,-144,37,-123.939262,-94.489639,37
404,-141,51,-123.929832,-94.488159,51
422,-163,36,-123.927628,-94.486633,36
416,-155,8,-123.934532,-94.487648,8
408,-171,-17,-123.918770,-94.485802,-17
397,-194,-16,-123.931656,-94.489166,-16
414,-208,-1,-123.908356,-94.484619,-1
397,-163,9,-123.946136,-94.487961,9
424,-216,25,-123.945679,-94.487801,25
425,-168,37,-123.924561,-94.484261,37
416,-159,46,-123.942795,-94.485512,46
413,-161,37,-123.935562,-94.485672,37
424,-181,31,-123.919273,-94.483994,31
416,-195,-1,-123.916992,-94.484268,-1
422,-199,7,-123.909973,-94.484848,7
410,-203,-1,-123.932060,-94.487549,-1
430,-198,11,-123.940437,-94.487869,11
415,-187,12,-123.927124,-94.487465,12
423,-164,33,-123.921745,-94.484428,33
433,-192,35,-123.926849,-94.485146,35
418,-177,53,-123.902260,-94.481400,53
421,-205,11,-123.873665,-94.477875,11
421,-165,6,-123.871193,-94.478676,6
412,-189,5,-123.887093,-94.480339,5
419,-192,5,-123.892464,-94.481750,5
413,-168,8,-123.905342,-94.484390,8
429,-181,-7,-123.901093,-94.484299,-7
422,-169,13,-123.884148,-94.483955,13
416,-167,25,-123.901115,-94.486824,25
422,-205,3,-123.897713,-94.486237,3
424,-182,-6,-123.932663,-94.490532,-6
431,-176,0,-123.935646,-94.492569,0
411,-192,-15,-123.941742,-94.493156,-15
409,-191,-11,-123.941345,-94.493736,-11
435,-188,-7,-123.932526,-94.492775,-7
411,-180,-15,-123.968750,-94.498276,-15
417,-180,-11,-123.955505,-94.495773,-11
415,-178,-4,-123.988609,-94.498901,-4
418,-182,3,-124.001816,-94.499161,3
415,-206,-30,-123.992996,-94.499100,-30
404,-202,-18,-123.995354,-94.501511,-18
425,-194,-32,-124.004601,-94.502434,-32
430,-197,-25,-124.009720,-94.503670,-25
407,-181,-10,-123.996902,-94.503609,-10
422,-173,-12,-123.985535,-94.500801,-12
418,-179,-35,-123.968872,-94.499512,-35
414,-153,-9,-123.991425,-94.502983,-9
403,-179,-30,-123.998558,-94.503906,-30
420,-194,-13,-124.020699,-94.506454,-13
423,-196,-21,-124.017548,-94.505310,-21
410,-200,-14,-124.031212,-94.507866,-14
395,-191,-31,-124.016739,-94.504944,-31
398,-191,-13,-124.033752,-94.505707,-13
417,-169,-2,-124.046730,-94.506920,-2
420,-196,32,-124.049583,-94.507248,32
409,-177,7,-124.051788,-94.507416,7
427,-175,-19,-124.046852,-94.507545,-19
409,-164,25,-124.057510,-94.509682,25
392,-181,-5,-124.079941,-94.510803,-5
414,-188,-18,-124.085579,-94.511635,-18
441,-197,17,-124.084862,-94.509865,17
425,-197,-25,-124.084534,-94.509346,-25
401,-183,21,-124.070419,-94.507515,21
416,-176,4,-124.078072,-94.507530,4
428,-170,11,-124.089508,-94.509621,11
411,-174,-6,-124.063026,-94.506645,-6
412,-163,9,-124.071953,-94.508728,9
407,-185,24,-124.073311,-94.508247,24
402,-188,21,-124.064041,-94.506920,21
